"Transaction Type","Date","Amount Debited","Debit Currency","Amount Credited","Credit Currency","Buy / Sell Rate","Direction","Spot Rate","Source / Destination","Blockchain Transaction ID"
"peer transfer","2021-09-29T12:43:47+00",5,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-09-30T12:21:46+00",,,5,"CAD",,"credit",,"@jessyjr97",
"shakingsats","2021-09-30T12:44:34+00",,,0.00000925,"BTC",,"credit","55625.2692",,
"peer transfer","2021-09-30T12:44:52+00",5,"CAD",,,,"debit",,"@jessyjr97",
"shakingsats","2021-10-01T04:10:44+00",,,0.0000093,"BTC",,"credit","55504.8039",,
"peer transfer","2021-10-01T04:11:07+00",5,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-10-01T12:12:17+00",,,5,"CAD",,"credit",,"@jessyjr97",
"shakingsats","2021-10-02T04:37:29+00",,,0.0000093,"BTC",,"credit","60172.0184",,
"peer transfer","2021-10-02T04:37:39+00",5,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-10-02T17:36:13+00",,,5,"CAD",,"credit",,"@jessyjr97",
"peer transfer","2021-10-03T16:14:50+00",,,0.69,"CAD",,"credit",,"@jessyjr97",
"shakingsats","2021-10-03T16:15:07+00",,,0.00000935,"BTC",,"credit","60576.5463",,
"peer transfer","2021-10-03T16:15:35+00",0.7,"CAD",,,,"debit",,"@jessyjr97",
"shakingsats","2021-10-04T04:38:24+00",,,0.00000935,"BTC",,"credit","60277.2625",,
"peer transfer","2021-10-04T04:39:04+00",4.2,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-10-04T04:39:42+00",0.01,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-10-04T11:43:50+00",,,4.22,"CAD",,"credit",,"@jessyjr97",
"peer transfer","2021-10-04T15:34:23+00",0.42,"CAD",,,,"debit",,"@jessyjr97",
"shakingsats","2021-10-05T11:57:15+00",,,0.00000935,"BTC",,"credit","62806.6861",,
"peer transfer","2021-10-05T11:59:33+00",1.23,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-10-05T12:07:28+00",,,1.23,"CAD",,"credit",,"@jessyjr97",
"peer transfer","2021-10-06T10:51:13+00",,,1.42,"CAD",,"credit",,"@jessyjr97",
"shakingsats","2021-10-06T10:51:23+00",,,0.0000094,"BTC",,"credit","64849.1230",,
"peer transfer","2021-10-06T10:52:29+00",1,"CAD",,,,"debit",,"@jessyjr97",
"purchase/sale","2021-10-06T12:22:29+00",0.00030776,"BTC",20.01,"CAD","65198.9979","sale",,,
"purchase/sale","2021-10-06T13:20:52+00",0.00029594,"BTC",20,"CAD","67594.2265","sale",,,
"peer transfer","2021-10-06T13:23:19+00",0.01,"CAD",,,,"debit",,"@jessyjr97",
"purchase/sale","2021-10-06T14:02:25+00",0.00336777941,"ETH",14.94,"CAD","4436.2501","sale",,,
"peer transfer","2021-10-06T14:14:04+00",,,0.01,"CAD",,"credit",,"@jessyjr97",
"peer transfer","2021-10-06T14:16:21+00",0.01,"CAD",,,,"debit",,"@jessyjr97",
"purchase/sale","2021-10-06T14:30:30+00",0.00022185,"BTC",15,"CAD","67617.2808","sale",,,
"purchase/sale","2021-10-06T14:56:35+00",0.00029405,"BTC",20,"CAD","68016.1671","sale",,,
"peer transfer","2021-10-06T15:19:01+00",,,0.01,"CAD",,"credit",,"@jessyjr97",
"purchase/sale","2021-10-06T15:28:56+00",0.0001464,"BTC",10,"CAD","68311.8213","sale",,,
"purchase/sale","2021-10-06T15:40:35+00",0.000292,"BTC",20.01,"CAD","68550.9491","sale",,,
"purchase/sale","2021-10-06T15:46:18+00",0.0022226,"ETH",9.99,"CAD","4496.7756","sale",,,
"peer transfer","2021-10-07T11:32:51+00",,,1,"CAD",,"credit",,"@jessyjr97",
"shakingsats","2021-10-07T11:45:47+00",,,0.0000094,"BTC",,"credit","68134.1284",,
"peer transfer","2021-10-07T19:09:50+00",1,"CAD",,,,"debit",,"@jessyjr97",
"shakingsats","2021-10-08T16:47:41+00",,,0.00000945,"BTC",,"credit","67963.4235",,
"peer transfer","2021-10-08T21:56:16+00",,,1,"CAD",,"credit",,"@jessyjr97",
"peer transfer","2021-10-09T02:18:48+00",1,"CAD",,,,"debit",,"@jessyjr97",
"shakingsats","2021-10-09T15:31:03+00",,,0.00000945,"BTC",,"credit","68767.2648",,
"shakingsats","2021-10-10T13:54:43+00",,,0.00000945,"BTC",,"credit","68902.7178",,
"peer transfer","2021-10-10T13:54:57+00",1,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-10-10T18:08:16+00",,,1,"CAD",,"credit",,"@jessyjr97",
"purchase/sale","2021-10-11T07:05:22+00",0.0016429,"BTC",115.01,"CAD","70053.0338","sale",,,
"fiat cashout","2021-10-11T13:02:24+00",200,"CAD",,,,"debit",,"etiennecloutier00@gmail.com",
"shakingsats","2021-10-11T13:03:27+00",,,0.0000095,"BTC",,"credit","70560.9936",,
"peer transfer","2021-10-11T13:03:55+00",1,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-10-11T13:30:27+00",,,1,"CAD",,"credit",,"@jessyjr97",
"peer transfer","2021-10-12T04:04:59+00",,,1,"CAD",,"credit",,"@jessyjr97",
"shakingsats","2021-10-12T12:27:59+00",,,0.0000095,"BTC",,"credit","70953.5554",,
"peer transfer","2021-10-12T12:28:12+00",1,"CAD",,,,"debit",,"@jessyjr97",
"shakingsats","2021-10-13T12:27:21+00",,,0.00000955,"BTC",,"credit","68509.7581",,
"peer transfer","2021-10-13T13:46:25+00",1,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-10-13T14:18:45+00",,,1,"CAD",,"credit",,"@jessyjr97",
"peer transfer","2021-10-13T14:21:36+00",1,"CAD",,,,"debit",,"@bitbuyguy",
"peer transfer","2021-10-13T16:23:04+00",,,1,"CAD",,"credit",,"@bitbuyguy",
"peer transfer","2021-10-13T16:25:35+00",1,"CAD",,,,"debit",,"@bitbuyguy",
"peer transfer","2021-10-13T16:27:08+00",,,1,"CAD",,"credit",,"@bitbuyguy",
"shakingsats","2021-10-14T14:55:38+00",,,0.00000955,"BTC",,"credit","71069.3543",,
"peer transfer","2021-10-14T14:55:54+00",1,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-10-14T21:13:36+00",,,1,"CAD",,"credit",,"@jessyjr97",
"shakingsats","2021-10-15T04:03:55+00",,,0.00000955,"BTC",,"credit","73405.0833",,
"peer transfer","2021-10-15T12:53:21+00",1,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-10-15T16:25:24+00",,,1,"CAD",,"credit",,"@jessyjr97",
"purchase/sale","2021-10-15T17:56:33+00",10,"CAD",0.00012925,"BTC","77367.0536","purchase",,,
"shakingsats","2021-10-16T12:10:31+00",,,0.0000096,"BTC",,"credit","76091.3145",,
"peer transfer","2021-10-16T12:10:54+00",1,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-10-16T13:06:08+00",,,1,"CAD",,"credit",,"@jessyjr97",
"peer transfer","2021-10-17T06:32:17+00",,,5,"CAD",,"credit",,"@jessyjr97",
"peer transfer","2021-10-17T06:42:50+00",1,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-10-17T06:43:09+00",4,"CAD",,,,"debit",,"@jessyjr97",
"shakingsats","2021-10-17T06:50:52+00",,,0.0000096,"BTC",,"credit","75117.2210",,
"peer transfer","2021-10-18T09:52:23+00",,,5,"CAD",,"credit",,"@jessyjr97",
"shakingsats","2021-10-18T12:06:14+00",,,0.0000096,"BTC",,"credit","75465.4463",,
"peer transfer","2021-10-18T12:06:39+00",5,"CAD",,,,"debit",,"@jessyjr97",
"shakingsats","2021-10-19T05:20:32+00",,,0.00000965,"BTC",,"credit","77003.6063",,
"peer transfer","2021-10-19T11:22:20+00",1,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-10-19T11:43:01+00",,,1,"CAD",,"credit",,"@jessyjr97",
"shakingsats","2021-10-20T04:06:11+00",,,0.00000965,"BTC",,"credit","78759.0477",,
"peer transfer","2021-10-20T04:13:13+00",1,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-10-20T12:10:25+00",,,1,"CAD",,"credit",,"@jessyjr97",
"shakingsats","2021-10-21T11:49:54+00",,,0.00000965,"BTC",,"credit","79900.9915",,
"purchase/sale","2021-10-21T11:51:51+00",30,"CAD",0.00037178,"BTC","80692.2844","purchase",,,
"peer transfer","2021-10-21T14:16:58+00",1,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-10-21T14:52:14+00",,,1,"CAD",,"credit",,"@jessyjr97",
"shakingsats","2021-10-22T04:11:18+00",,,0.0000097,"BTC",,"credit","78101.8912",,
"peer transfer","2021-10-22T05:46:44+00",,,1,"CAD",,"credit",,"@jessyjr97",
"peer transfer","2021-10-23T17:26:42+00",,,1,"CAD",,"credit",,"@jessyjr97",
"shakingsats","2021-10-23T20:14:22+00",,,0.0000097,"BTC",,"credit","75485.7568",,
"peer transfer","2021-10-23T20:35:16+00",1,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-10-23T20:35:35+00",1,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-10-23T21:15:51+00",,,1,"CAD",,"credit",,"@jessyjr97",
"peer transfer","2021-10-23T21:22:16+00",1.99,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-10-24T06:50:03+00",,,0.99,"CAD",,"credit",,"@jessyjr97",
"shakingsats","2021-10-24T11:37:49+00",,,0.0000097,"BTC",,"credit","74731.9854",,
"peer transfer","2021-10-24T11:38:21+00",1,"CAD",,,,"debit",,"@jessyjr97",
"shakingsats","2021-10-25T07:49:09+00",,,0.00000975,"BTC",,"credit","77403.5429",,
"peer transfer","2021-10-25T20:45:31+00",,,1,"CAD",,"credit",,"@jessyjr97",
"peer transfer","2021-10-26T04:05:42+00",,,1,"CAD",,"credit",,"@jessyjr97",
"shakingsats","2021-10-26T04:05:56+00",,,0.00000975,"BTC",,"credit","77687.8592",,
"peer transfer","2021-10-26T04:06:16+00",1.01,"CAD",,,,"debit",,"@jessyjr97",
"shakingsats","2021-10-27T04:09:30+00",,,0.00000975,"BTC",,"credit","75251.6717",,
"peer transfer","2021-10-27T04:09:52+00",1,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-10-27T10:56:30+00",,,1.01,"CAD",,"credit",,"@jessyjr97",
"peer transfer","2021-10-27T11:58:29+00",0.01,"CAD",,,,"debit",,"@jessyjr97",
"shakingsats","2021-10-28T11:03:50+00",,,0.0000098,"BTC",,"credit","75469.2452",,
"peer transfer","2021-10-28T11:45:06+00",,,1.02,"CAD",,"credit",,"@jessyjr97",
"purchase/sale","2021-10-28T12:59:35+00",0.0015,"ETH",7.65,"CAD","5100.3138","sale",,,
"peer transfer","2021-10-28T13:24:35+00",1.23,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-10-28T14:27:53+00",,,0.22,"CAD",,"credit",,"@jessyjr97",
"peer transfer","2021-10-28T17:50:17+00",9.73,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-10-28T18:50:02+00",,,9.73,"CAD",,"credit",,"@jessyjr97",
"shakingsats","2021-10-29T10:47:04+00",,,0.0000098,"BTC",,"credit","75221.8827",,
"peer transfer","2021-10-29T19:44:49+00",1,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-10-29T19:46:47+00",1,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-10-29T19:50:00+00",,,1,"CAD",,"credit",,"@jessyjr97",
"peer transfer","2021-10-29T19:50:24+00",,,1,"CAD",,"credit",,"@jessyjr97",
"peer transfer","2021-10-30T04:46:13+00",,,1,"CAD",,"credit",,"@jessyjr97",
"shakingsats","2021-10-30T04:58:42+00",,,0.0000098,"BTC",,"credit","76159.3692",,
"peer transfer","2021-10-30T06:27:08+00",1,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-10-31T16:17:42+00",,,5,"CAD",,"credit",,"@jessyjr97",
"shakingsats","2021-10-31T16:17:54+00",,,0.00000985,"BTC",,"credit","74721.3369",,
"peer transfer","2021-10-31T16:18:32+00",6,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-10-31T16:19:32+00",,,1,"CAD",,"credit",,"@jessyjr97",
"shakingsats","2021-11-01T05:02:42+00",,,0.00000985,"BTC",,"credit","75022.9929",,
"shakingsats","2021-11-02T11:20:30+00",,,0.00000985,"BTC",,"credit","78586.9245",,
"peer transfer","2021-11-02T11:21:48+00",5,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-11-02T11:42:12+00",,,5,"CAD",,"credit",,"@jessyjr97",
"shakingsats","2021-11-03T14:28:00+00",,,0.0000099,"BTC",,"credit","77107.2946",,
"peer transfer","2021-11-04T04:02:58+00",,,5,"CAD",,"credit",,"@jessyjr97",
"shakingsats","2021-11-04T04:08:35+00",,,0.0000099,"BTC",,"credit","77663.0405",,
"peer transfer","2021-11-04T04:09:17+00",5,"CAD",,,,"debit",,"@jessyjr97",
"shakingsats","2021-11-05T11:05:39+00",,,0.0000099,"BTC",,"credit","76937.6028",,
"peer transfer","2021-11-05T11:06:16+00",5,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-11-05T12:12:10+00",,,10,"CAD",,"credit",,"@jessyjr97",
"peer transfer","2021-11-05T14:01:44+00",5,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-11-06T05:12:05+00",,,5,"CAD",,"credit",,"@jessyjr97",
"shakingsats","2021-11-06T09:46:42+00",,,0.00000995,"BTC",,"credit","76114.0264",,
"peer transfer","2021-11-06T09:47:17+00",5,"CAD",,,,"debit",,"@jessyjr97",
"shakingsats","2021-11-07T05:15:13+00",,,0.00000995,"BTC",,"credit","77386.4840",,
"peer transfer","2021-11-07T05:15:32+00",5,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-11-07T16:18:10+00",,,5,"CAD",,"credit",,"@jessyjr97",
"peer transfer","2021-11-08T13:39:48+00",,,5,"CAD",,"credit",,"@jessyjr97",
"shakingsats","2021-11-08T14:48:21+00",,,0.00000995,"BTC",,"credit","81477.2882",,
"peer transfer","2021-11-09T00:31:45+00",5,"CAD",,,,"debit",,"@jessyjr97",
"shakingsats","2021-11-09T12:01:50+00",,,0.00000995,"BTC",,"credit","84181.8814",,
"peer transfer","2021-11-09T12:02:32+00",5,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-11-09T12:38:48+00",,,5,"CAD",,"credit",,"@jessyjr97",
"peer transfer","2021-11-10T11:20:41+00",,,5,"CAD",,"credit",,"@jessyjr97",
"shakingsats","2021-11-10T11:56:10+00",,,0.00001,"BTC",,"credit","82841.3416",,
"peer transfer","2021-11-10T11:56:42+00",5,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-11-11T11:27:23+00",,,5,"CAD",,"credit",,"@jessyjr97",
"shakingsats","2021-11-11T11:50:09+00",,,0.00001,"BTC",,"credit","81770.8522",,
"peer transfer","2021-11-11T11:50:53+00",5,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-11-12T13:11:47+00",,,5,"CAD",,"credit",,"@jessyjr97",
"shakingsats","2021-11-12T13:12:40+00",,,0.00001,"BTC",,"credit","80049.4647",,
"peer transfer","2021-11-12T13:13:14+00",5,"CAD",,,,"debit",,"@jessyjr97",
"shakingsats","2021-11-13T12:12:49+00",,,0.00001,"BTC",,"credit","79923.8646",,
"peer transfer","2021-11-13T12:13:03+00",5,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-11-13T19:29:33+00",,,5,"CAD",,"credit",,"@jessyjr97",
"peer transfer","2021-11-14T03:39:58+00",0.01,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-11-14T05:50:21+00",,,5,"CAD",,"credit",,"@jessyjr97",
"shakingsats","2021-11-14T14:29:07+00",,,0.00001,"BTC",,"credit","80882.8462",,
"peer transfer","2021-11-14T14:29:21+00",5,"CAD",,,,"debit",,"@jessyjr97",
"shakingsats","2021-11-15T09:52:21+00",,,0.00001,"BTC",,"credit","82706.3926",,
"peer transfer","2021-11-15T12:08:31+00",5,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-11-15T12:35:37+00",,,5,"CAD",,"credit",,"@jessyjr97",
"shakingsats","2021-11-16T05:37:58+00",,,0.00001,"BTC",,"credit","76609.5285",,
"peer transfer","2021-11-16T05:38:07+00",5,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-11-16T11:36:09+00",,,5,"CAD",,"credit",,"@jessyjr97",
"shakingsats","2021-11-17T12:20:33+00",,,0.00001,"BTC",,"credit","76039.5620",,
"peer transfer","2021-11-17T12:20:43+00",5,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-11-17T12:56:04+00",,,5,"CAD",,"credit",,"@jessyjr97",
"shakingsats","2021-11-18T05:01:21+00",,,0.00001,"BTC",,"credit","75313.5413",,
"peer transfer","2021-11-18T05:01:52+00",5,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-11-18T12:37:17+00",,,5,"CAD",,"credit",,"@jessyjr97",
"shakingsats","2021-11-19T05:07:28+00",,,0.00001,"BTC",,"credit","70958.6717",,
"peer transfer","2021-11-19T05:07:41+00",5,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-11-19T13:00:47+00",,,5,"CAD",,"credit",,"@jessyjr97",
"shakingsats","2021-11-20T12:35:50+00",,,0.00001,"BTC",,"credit","74163.0202",,
"peer transfer","2021-11-21T03:29:51+00",5,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-11-21T04:50:34+00",,,5,"CAD",,"credit",,"@jessyjr97",
"peer transfer","2021-11-21T05:23:08+00",,,5,"CAD",,"credit",,"@jessyjr97",
"shakingsats","2021-11-21T12:30:44+00",,,0.00001,"BTC",,"credit","74892.7239",,
"peer transfer","2021-11-21T12:31:07+00",5,"CAD",,,,"debit",,"@jessyjr97",
"shakingsats","2021-11-22T05:07:29+00",,,0.00001,"BTC",,"credit","72020.4332",,
"peer transfer","2021-11-22T23:14:43+00",5,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-11-22T23:17:14+00",,,5,"CAD",,"credit",,"@jessyjr97",
"shakingsats","2021-11-23T05:21:13+00",,,0.00001,"BTC",,"credit","71885.9354",,
"peer transfer","2021-11-23T05:21:34+00",5,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-11-23T12:09:18+00",,,5,"CAD",,"credit",,"@jessyjr97",
"peer transfer","2021-11-24T11:19:38+00",,,5,"CAD",,"credit",,"@jessyjr97",
"shakingsats","2021-11-24T12:31:29+00",,,0.00001,"BTC",,"credit","71814.6854",,
"peer transfer","2021-11-24T12:32:23+00",5,"CAD",,,,"debit",,"@jessyjr97",
"shakingsats","2021-11-25T14:00:04+00",,,0.00001,"BTC",,"credit","74240.7835",,
"peer transfer","2021-11-25T23:35:19+00",,,5,"CAD",,"credit",,"@jessyjr97",
"peer transfer","2021-11-26T01:18:28+00",5,"CAD",,,,"debit",,"@jessyjr97",
"shakingsats","2021-11-26T05:42:40+00",,,0.00001,"BTC",,"credit","73434.8761",,
"peer transfer","2021-11-26T13:39:31+00",,,5,"CAD",,"credit",,"@jessyjr97",
"peer transfer","2021-11-26T16:40:36+00",1,"CAD",,,,"debit",,"@jessyjr97",
"shakingsats","2021-11-27T13:33:05+00",,,0.00001,"BTC",,"credit","70410.2969",,
"peer transfer","2021-11-27T16:20:00+00",4,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-11-27T16:41:07+00",,,6.66,"CAD",,"credit",,"@jessyjr97",
"peer transfer","2021-11-27T17:58:44+00",6.66,"CAD",,,,"debit",,"@jessyjr97",
"shakingsats","2021-11-28T05:04:46+00",,,0.00001,"BTC",,"credit","69380.0480",,
"shakingsats","2021-11-29T14:17:02+00",,,0.00001,"BTC",,"credit","72878.9290",,
"peer transfer","2021-11-29T14:18:46+00",5,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-11-29T16:49:21+00",,,5,"CAD",,"credit",,"@jessyjr97",
"shakingsats","2021-11-30T05:01:01+00",,,0.00001,"BTC",,"credit","72965.5034",,
"peer transfer","2021-11-30T12:36:14+00",,,5,"CAD",,"credit",,"@jessyjr97",
"peer transfer","2021-12-01T12:14:53+00",,,5,"CAD",,"credit",,"@jessyjr97",
"shakingsats","2021-12-01T12:24:17+00",,,0.00001,"BTC",,"credit","72982.2391",,
"peer transfer","2021-12-01T12:24:54+00",5,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-12-01T12:25:14+00",5,"CAD",,,,"debit",,"@jessyjr97",
"shakingsats","2021-12-02T12:01:49+00",,,0.00001,"BTC",,"credit","72105.3888",,
"peer transfer","2021-12-02T12:27:14+00",5,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-12-02T12:59:08+00",,,5,"CAD",,"credit",,"@jessyjr97",
"fiat funding","2021-12-02T17:37:20+00",,,100,"CAD",,"credit",,"etiennecloutier00@gmail.com",
"shakingsats","2021-12-03T05:16:29+00",,,0.00001,"BTC",,"credit","72522.7607",,
"peer transfer","2021-12-03T21:32:35+00",5,"CAD",,,,"debit",,"@jessyjr97",
"peer transfer","2021-12-03T21:57:06+00",,,5,"CAD",,"credit",,"@jessyjr97",
